Date,Gender,Annual Income,Company,Model,Engine,Transmission,Color,Price,Body Style,Dealer_Region
1/2/2022,Male,13500,Ford,Expedition,DoubleÂ Overhead Camshaft,Auto,Black,26000,SUV,Middletown
1/2/2022,Male,1480000,Dodge,Durango,DoubleÂ Overhead Camshaft,Auto,Black,19000,SUV,Aurora
1/2/2022,Male,1035000,Cadillac,Eldorado,Overhead Camshaft,Manual,Red,31500,Passenger,Greenville
1/2/2022,Male,13500,Toyota,Celica,Overhead Camshaft,Manual,Pale White,14000,SUV,Pasco
1/2/2022,Male,1465000,Acura,TL,DoubleÂ Overhead Camshaft,Auto,Red,24500,Hatchback,Janesville
1/2/2022,Male,850000,Mitsubishi,Diamante,Overhead Camshaft,Manual,Pale White,12000,Hatchback,Scottsdale
1/2/2022,Male,1600000,Toyota,Corolla,Overhead Camshaft,Manual,Pale White,14000,Passenger,Austin
1/2/2022,Male,13500,Mitsubishi,Galant,DoubleÂ Overhead Camshaft,Auto,Pale White,42000,Passenger,Austin
1/2/2022,Male,815000,Chevrolet,Malibu,Overhead Camshaft,Manual,Pale White,82000,Hardtop,Pasco
1/2/2022,Female,13500,Ford,Escort,DoubleÂ Overhead Camshaft,Auto,Pale White,15000,Passenger,Scottsdale
1/2/2022,Male,13500,Acura,RL,Overhead Camshaft,Manual,Pale White,31000,SUV,Austin
1/2/2022,Male,13500,Nissan,Pathfinder,DoubleÂ Overhead Camshaft,Auto,Pale White,46000,Hardtop,Pasco
1/2/2022,Male,885000,Mercury,Grand Marquis,DoubleÂ Overhead Camshaft,Auto,Black,9000,SUV,Aurora
1/2/2022,Male,13500,BMW,323i,DoubleÂ Overhead Camshaft,Auto,Pale White,15000,Hatchback,Greenville
1/2/2022,Male,722000,Chrysler,Sebring Coupe,Overhead Camshaft,Manual,Pale White,26000,Sedan,Middletown
1/2/2022,Male,746000,Subaru,Forester,Overhead Camshaft,Manual,Pale White,17000,Hatchback,Aurora
1/2/2022,Female,535000,Hyundai,Accent,Overhead Camshaft,Manual,Black,18000,Hatchback,Greenville
1/2/2022,Female,570000,Cadillac,Eldorado,DoubleÂ Overhead Camshaft,Auto,Pale White,31000,Passenger,Pasco
1/2/2022,Male,685000,Toyota,Land Cruiser,DoubleÂ Overhead Camshaft,Auto,Pale White,33000,SUV,Janesville
1/2/2022,Male,455000,Honda,Accord,DoubleÂ Overhead Camshaft,Auto,Pale White,21000,Sedan,Scottsdale
1/2/2022,Male,13500,Toyota,4Runner,Overhead Camshaft,Manual,Black,25000,Sedan,Austin
1/2/2022,Male,2500000,Infiniti,I30,DoubleÂ Overhead Camshaft,Auto,Black,21000,Hardtop,Austin
1/2/2022,Male,585000,Audi,A4,Overhead Camshaft,Manual,Pale White,12000,Hardtop,Middletown
1/2/2022,Male,920000,Porsche,Carrera Cabrio,DoubleÂ Overhead Camshaft,Auto,Pale White,18000,Passenger,Pasco
1/2/2022,Male,672000,Volkswagen,Jetta,DoubleÂ Overhead Camshaft,Auto,Pale White,22000,Passenger,Janesville
1/2/2022,Male,801250,Dodge,Viper,DoubleÂ Overhead Camshaft,Auto,Pale White,31250,SUV,Scottsdale
1/2/2022,Female,820000,Buick,Regal,DoubleÂ Overhead Camshaft,Auto,Black,19000,Passenger,Austin
1/2/2022,Male,791000,Chrysler,LHS,Overhead Camshaft,Manual,Pale White,41000,Hatchback,Janesville
1/2/2022,Male,13500,Chrysler,LHS,Overhead Camshaft,Manual,Pale White,41000,Hatchback,Janesville
1/2/2022,Male,1020000,Saturn,LW,Overhead Camshaft,Manual,Pale White,13000,Hatchback,Scottsdale
1/2/2022,Male,210000,Mitsubishi,3000GT,Overhead Camshaft,Manual,Pale White,20000,Sedan,Austin
1/2/2022,Male,750000,Mercedes-B,SLK230,Overhead Camshaft,Manual,Pale White,14000,Hatchback,Middletown
1/2/2022,Male,635000,Honda,Accord,DoubleÂ Overhead Camshaft,Auto,Pale White,19000,Sedan,Aurora
1/2/2022,Male,675000,Honda,Civic,Overhead Camshaft,Manual,Black,43000,Hatchback,Greenville
1/2/2022,Male,880000,Jaguar,S-Type,DoubleÂ Overhead Camshaft,Auto,Black,16000,Passenger,Pasco
1/3/2022,Male,13500,Volvo,S40,DoubleÂ Overhead Camshaft,Auto,Pale White,42000,Sedan,Middletown
1/3/2022,Male,13500,Mercury,Mountaineer,DoubleÂ Overhead Camshaft,Auto,Pale White,21000,SUV,Aurora
1/3/2022,Male,13500,Buick,Park Avenue,DoubleÂ Overhead Camshaft,Auto,Black,61000,Hatchback,Greenville
1/3/2022,Male,941000,Mitsubishi,Montero Sport,DoubleÂ Overhead Camshaft,Auto,Pale White,39000,SUV,Pasco
1/3/2022,Female,13500,Nissan,Sentra,DoubleÂ Overhead Camshaft,Auto,Black,16000,Passenger,Pasco
1/3/2022,Male,13500,Chrysler,Sebring Coupe,Overhead Camshaft,Manual,Pale White,26000,Sedan,Janesville
1/3/2022,Female,13500,Volvo,S80,Overhead Camshaft,Manual,Pale White,21000,Sedan,Scottsdale
1/3/2022,Male,967500,Chevrolet,Lumina,Overhead Camshaft,Manual,Black,42500,Passenger,Austin
1/3/2022,Male,600000,Mitsubishi,Montero Sport,DoubleÂ Overhead Camshaft,Auto,Black,45001,Hatchback,Middletown
1/3/2022,Male,575000,Pontiac,Bonneville,Overhead Camshaft,Manual,Black,36001,Hatchback,Aurora
