feature,coefficient,abs_coef
cat__Model_Catera,18332.319300611955,18332.319300611955
cat__Model_Tacoma,18053.977426609883,18053.977426609883
cat__Model_Contour,17125.14195548766,17125.14195548766
cat__Model_Escort,-16080.515527080299,16080.515527080299
cat__Model_Park Avenue,15527.236146019803,15527.236146019803
cat__Model_Mirage,-15504.075535927022,15504.075535927022
cat__Model_Integra,14396.976475397729,14396.976475397729
cat__Model_Sable,14326.232574457932,14326.232574457932
cat__Model_Taurus,13960.089943941557,13960.089943941557
cat__Model_Montero Sport,13879.724419759734,13879.724419759734
cat__Model_Galant,13340.55533840711,13340.55533840711
cat__Model_Firebird,13309.834258621573,13309.834258621573
cat__Model_Continental,13146.192115268284,13146.192115268284
cat__Model_SC,13103.414951260942,13103.414951260942
cat__Model_Alero,-12568.95132701313,12568.95132701313
cat__Model_Malibu,12488.429262515292,12488.429262515292
cat__Model_SL,-12290.634201955483,12290.634201955483
cat__Model_C-Class,-12242.272517990983,12242.272517990983
cat__Company_Cadillac,11885.454522118307,11885.454522118307
cat__Model_F-Series,-11573.611523688403,11573.611523688403
cat__Model_Beetle,11541.231925175825,11541.231925175825
cat__Model_V70,11484.87636373619,11484.87636373619
cat__Model_SLK230,11347.022309786835,11347.022309786835
cat__Model_Cirrus,-11131.677556509636,11131.677556509636
cat__Model_LS400,11130.845002947417,11130.845002947417
cat__Model_RX300,-10860.313089713716,10860.313089713716
cat__Model_Avalon,-10380.419946686583,10380.419946686583
cat__Model_Century,-10278.166679803864,10278.166679803864
cat__Model_Grand Am,-10103.36551126034,10103.36551126034
cat__Model_Bonneville,-9674.381231832314,9674.381231832314
cat__Model_V40,-9100.594499012643,9100.594499012643
cat__Model_Pathfinder,8756.668359361034,8756.668359361034
cat__Model_Sentra,-8730.99794551618,8730.99794551618
cat__Model_Aurora,8717.54174399954,8717.54174399954
cat__Model_Cabrio,-8601.87633533153,8601.87633533153
cat__Model_Montero,-8464.649038099371,8464.649038099371
