row_index,split
10861,train
11146,train
20972,train
10434,train
21552,train
19278,train
2718,train
13300,train
5754,train
3887,train
17203,train
16219,train
11288,train
19672,train
16611,train
12490,train
5384,train
23849,train
12036,train
9413,train
5218,train
10090,train
18190,train
6753,train
2237,train
7241,train
6352,train
14848,train
231,train
15404,train
16953,train
19650,train
9332,train
9401,train
5505,train
21719,train
16814,train
23235,train
16143,train
3978,train
22086,train
12518,train
3425,train
12907,train
15800,train
10153,train
5771,train
18465,train
13533,train
17276,train
20813,train
2312,train
16137,train
13740,train
18999,train
15550,train
8797,train
5548,train
13336,train
8139,train
16466,train
22899,train
20619,train
15134,train
11423,train
3829,train
12084,train
10186,train
4199,train
9400,train
1722,train
23389,train
7216,train
10834,train
10918,train
7326,train
6946,train
1732,train
6119,train
10117,train
2848,train
8099,train
7908,train
3894,train
16158,train
8854,train
7339,train
23742,train
22256,train
10968,train
20883,train
16449,train
4153,train
2943,train
18754,train
17897,train
18936,train
19736,train
15321,train
21538,train
5394,train
9423,train
23838,train
7495,train
18970,train
18637,train
2301,train
22752,train
2998,train
17501,train
7974,train
379,train
18011,train
3950,train
10163,train
7427,train
10484,train
10206,train
13459,train
4509,train
927,train
10743,train
18422,train
19321,train
8958,train
8485,train
399,train
12235,train
17477,train
16242,train
2503,train
19942,train
11614,train
22771,train
6797,train
4660,train
13111,train
23528,train
14930,train
8842,train
7204,train
22594,train
17465,train
13129,train
12261,train
5090,train
22701,train
6835,train
3697,train
18718,train
1011,train
12961,train
9955,train
12562,train
6442,train
2616,train
467,train
17841,train
14992,train
18653,train
14666,train
12315,train
21756,train
19749,train
8679,train
13561,train
431,train
23666,train
17964,train
21255,train
22233,train
407,train
19202,train
14284,train
21731,train
17705,train
22997,train
13590,train
9185,train
651,train
15203,train
19793,train
177,train
3,train
18205,train
11193,train
15909,train
11784,train
15838,train
2392,train
14280,train
5617,train
17779,train
8294,train
20213,train
16324,train
18143,train
21234,train
4914,train
23143,train
7713,train
6705,train
21351,train
42,train
15415,train
3570,train
22780,train
10262,train
4049,train
6712,train
795,train
396,train
13471,train
23092,train
21692,train
420,train
6466,train
316,train
11213,train
17166,train
23175,train
12701,train
12230,train
18087,train
8829,train
20752,train
6775,train
23596,train
5026,train
7639,train
2640,train
17020,train
7451,train
20846,train
7163,train
15618,train
17204,train
87,train
20166,train
9681,train
7268,train
9672,train
18700,train
14127,train
16939,train
17299,train
8993,train
9366,train
16101,train
18200,train
5654,train
23621,train
4241,train
2483,train
6550,train
10392,train
647,train
12052,train
22572,train
21190,train
14509,train
5836,train
21982,train
7473,train
17566,train
16510,train
10769,train
6503,train
16420,train
13263,train
10902,train
11947,train
23165,train
4074,train
4915,train
2702,train
10056,train
12367,train
23894,train
9525,train
6538,train
7806,train
20263,train
14673,train
2381,train
6551,train
18870,train
7223,train
17758,train
12105,train
20978,train
18328,train
15598,train
3633,train
644,train
16362,train
18833,train
23499,train
1153,train
9534,train
7438,train
10923,train
2605,train
23858,train
14857,train
1869,train
16658,train
13295,train
17851,train
10842,train
13349,train
20532,train
3912,train
1430,train
22389,train
13060,train
16366,train
21907,train
9658,train
10668,train
10311,train
21213,train
2326,train
15278,train
4921,train
18008,train
17112,train
20597,train
8658,train
16308,train
22844,train
6769,train
20063,train
10930,train
20616,train
18993,train
12572,train
15556,train
471,train
23294,train
16837,train
17443,train
1771,train
16468,train
8406,train
3323,train
19215,train
19955,train
16668,train
7708,train
2117,train
22911,train
6425,train
14002,train
1162,train
22676,train
22935,train
8614,train
15673,train
20612,train
17609,train
1219,train
15348,train
22128,train
862,train
8629,train
17869,train
15829,train
22721,train
21061,train
6876,train
12214,train
13454,train
16412,train
7554,train
12092,train
4934,train
23774,train
9189,train
13633,train
11802,train
11374,train
19030,train
12596,train
19191,train
4411,train
13555,train
18307,train
11818,train
10359,train
21139,train
1419,train
21703,train
8292,train
20228,train
2703,train
20746,train
14008,train
14986,train
286,train
8815,train
20991,train
13953,train
8610,train
293,train
23897,train
23315,train
12930,train
12107,train
17489,train
915,train
2728,train
23691,train
23054,train
12885,train
17300,train
10574,train
14261,train
8582,train
14077,train
1994,train
5706,train
16798,train
16741,train
20922,train
4577,train
621,train
20230,train
19664,train
11557,train
4015,train
4453,train
23241,train
8416,train
12400,train
15191,train
7469,train
21998,train
17966,train
15012,train
8832,train
19303,train
7589,train
3237,train
17142,train
20600,train
15115,train
13441,train
116,train
13786,train
9758,train
12794,train
13079,train
2935,train
11995,train
15044,train
18084,train
3948,train
2207,train
17441,train
12756,train
14856,train
736,train
20359,train
3728,train
6925,train
10428,train
13837,train
450,train
15991,train
2066,train
20206,train
18276,train
1071,train
8291,train
1720,train
6052,train
6498,train
18758,train
20177,train
23020,train
17427,train
17556,train
19896,train
1237,train
14911,train
10054,train
17479,train
23212,train
10130,train
14630,train
17918,train
18327,train
41,train
10544,train
22726,train
17536,train
17305,train
19384,train
12893,train
2578,train
11778,train
17483,train
3474,train
22987,train
1123,train
4518,train
8147,train
16217,train
2223,train
16911,train
10337,train
13194,train
21822,train
2585,train
11247,train
17676,train
19817,train
21118,train
8542,train
22492,train
19322,train
11321,train
3372,train
